0	±
1	±）
2	β溶
3	γ
4	γ−
5	—
6	—性肉
7	—症
8	—症状
9	―
10	Ⅰ
11	Ⅰ型
12	Ⅰ度
13	Ⅰ期
14	ⅠＡ
15	ⅠＡ期
16	Ⅰａ
17	Ⅰａ期
18	Ⅰｂ
19	Ⅰｂ期
20	Ⅰｃ
21	Ⅰｐ
22	Ⅰｓ
23	Ⅰｓ型
24	Ⅰｓｐ
25	Ⅱ
26	Ⅱ型
27	Ⅱ型Ｄ
28	Ⅱ度
29	Ⅱ期
30	ⅡＤＩ
31	Ⅱａ
32	Ⅱａ型
33	Ⅱｂ
34	Ⅱｂ型
35	Ⅱｂ期
36	Ⅲ
37	Ⅲ型
38	Ⅲ度
39	Ⅲ期
40	Ⅲ血
41	Ⅲ血症
42	ⅢＣ期
43	Ⅲｂ
44	Ⅲｂ期
45	Ⅲｃ
46	Ⅲｃ期
47	Ⅳ
48	Ⅳ型
49	Ⅳ期
50	Ⅳａ期
51	Ⅳｂ
52	Ⅳｂ期
53	−
54	−λ型
55	−ル性
56	−１
57	−１感
58	−１５
59	−２６
60	−Ｂ
61	−Ｃ
62	−Ｃｅ
63	−Ｃｈ
64	−Ｄ
65	−Ｄａ
66	−Ｅ
67	−Ｅａ
68	−Ｅｌ
69	−Ｆｒ
70	−Ｆｕ
71	−Ｈｅ
72	−Ｈｏ
73	−Ｈｕ
74	−Ｊ
75	−Ｊｅ
76	−Ｊｏ
77	−Ｏ１
78	−Ｓｃ
79	−Ｓｔ
80	−Ｗｅ
81	−Ｗｉ
82	−ｂｒ
83	−ｃ
84	−ｃｅ
85	−ｉｍ
86	−ｔｙ
87	、妄
88	、病
89	、病期
90	々
91	々々発
92	々し
93	々む
94	々むか
95	々むせ
96	々下痢
97	々下血
98	々不安
99	々不眠
100	々中
101	々中途
102	々便秘
103	々出血
104	々動悸
105	々吐
106	々咳
107	々咳嗽
108	々喘息
109	々喘鳴
110	々嘔気
111	々失禁
112	々尿漏
113	々徐脈
114	々微熱
115	々息
116	々息苦
117	々掻
118	々掻痒
119	々杖
120	々水
121	々水平
122	々浮腫
123	々湿疹
124	々激
125	々激痛
126	々熱
127	々熱発
128	々疼痛
129	々痒み
130	々痔核
131	々痛
132	々痛い
133	々痛く
134	々痛み
135	々痛む
136	々痰
137	々痺れ
138	々発
139	々発熱
140	々発疹
141	々発腫
142	々発赤
143	々皮
144	々皮疹
145	々眩暈
146	々紅斑
147	々耳漏
148	々耳鳴
149	々胃痛
150	々胸痛
151	々腸
152	々腹痛
153	々蕁麻
154	々血便
155	々血尿
156	々血性
157	々血痰
158	々貧血
159	々鈍痛
160	々難聴
161	々頭痛
162	々頻尿
163	々鼻血
164	」
165	」出
166	」出血
167	【
168	〜
169	〜す
170	〜すり
171	〜低分
172	〜水
173	〜水様
174	〜泥
175	〜泥状
176	〜硬
